canton;community_id;organization_id;organization_name;latitude;longitude;www
ZH;0101;00001;Aeugst am Albis;47.26780;8.48567;http://www.aeugst-albis.ch
ZH;0101;00002;Affoltern am Albis;47.27751;8.45033;http://www.affoltern-am-albis.ch
ZH;0101;00003;Bonstetten;47.31667;8.46667;http://www.bonstetten.ch
ZH;0101;00004;Hausen am Albis;47.24383;8.53383;http://www.hausen.ch
ZH;0101;00005;Hedingen;47.30000;8.45000;http://www.hedingen.ch
ZH;0101;00006;Kappel am Albis;47.23333;8.51667;
ZH;0101;00007;Knonau;47.22368;8.46272;http://www.knonau.ch
ZH;0101;00008;Maschwanden;47.23460;8.42749;http://www.maschwanden.ch
ZH;0101;00009;Mettmenstetten;47.25000;8.46667;http://www.mettmenstetten.ch
ZH;0101;00010;Obfelden;47.26290;8.42232;http://www.obfelden.ch
ZH;0101;00011;Ottenbach;47.28090;8.40435;http://www.ottenbach.ch
ZH;0101;00012;Rifferswil;47.24304;8.49602;http://www.rifferswil.ch
ZH;0101;00013;Stallikon;47.32495;8.48997;http://www.stallikon.ch
ZH;0101;00014;Wettswil am Albis;47.33900;8.47330;http://www.wettswil.ch
ZH;0102;00021;Adlikon;47.58333;8.70000;http://www.adlikon.ch
ZH;0102;00022;Benken (ZH);47.65322;8.65336;http://www.benken-zh.ch
ZH;0102;00023;Berg am Irchel;47.56667;8.60000;http://www.berg-am-irchel.ch
ZH;0102;00024;Buch am Irchel;47.54841;8.62294;http://www.buchamirchel.ch
ZH;0102;00025;Dachsen;47.66550;8.61644;http://www.dachsen.ch
ZH;0102;00026;Dorf;47.57198;8.64803;http://www.dorf.ch
ZH;0102;00027;Feuerthalen;47.68333;8.65000;http://www.feuerthalen.ch
ZH;0102;00028;Flaach;47.58333;8.61667;http://www.flaach.ch
ZH;0102;00029;Flurlingen;47.68333;8.63333;http://www.flurlingen.ch
ZH;0102;00030;Andelfingen;47.59353;8.67925;http://www.andelfingen.ch
ZH;0102;00031;Henggart;47.56400;8.68411;http://www.henggart.ch
ZH;0102;00032;Humlikon;47.57628;8.67126;
ZH;0102;00033;Kleinandelfingen;47.59940;8.68216;http://www.kleinandelfingen.ch
ZH;0102;00034;Laufen-Uhwiesen;47.67564;8.61481;http://www.laufen-uhwiesen.ch
ZH;0102;00035;Marthalen;47.62610;8.64854;http://www.marthalen.ch
ZH;0102;00036;Oberstammheim;47.63260;8.79850;http://www.oberstammheim.ch
ZH;0102;00037;Ossingen;47.61230;8.72615;http://www.ossingen.ch
ZH;0102;00038;Rheinau;47.64340;8.60194;http://www.rheinau.ch
ZH;0102;00039;Thalheim an der Thur;47.58090;8.74792;http://www.thalheim.ch
ZH;0102;00040;Trüllikon;47.63828;8.69003;http://www.truellikon.ch
ZH;0102;00041;Truttikon;47.63333;8.73333;http://www.truttikon.ch
ZH;0102;00042;Unterstammheim;47.63910;8.79095;http://www.unterstammheim.ch
ZH;0102;00043;Volken;47.57406;8.62501;http://www.volken.ch
ZH;0102;00044;Waltalingen;47.62280;8.77865;http://www.waltalingen.ch
ZH;0103;00051;Bachenbülach;47.50250;8.54697;http://www.bachenbuelach.ch
ZH;0103;00052;Bassersdorf;47.44268;8.62776;http://www.bassersdorf.ch
ZH;0103;00053;Bülach;47.51990;8.53811;http://www.buelach.ch
ZH;0103;00054;Dietlikon;47.42386;8.61622;http://www.dietlikon.ch
ZH;0103;00055;Eglisau;47.57600;8.52408;http://www.eglisau.ch
ZH;0103;00056;Embrach;47.51080;8.59384;http://www.embrach.ch
ZH;0103;00057;Freienstein-Teufen;47.54963;8.56595;http://www.freienstein-teufen.ch
ZH;0103;00058;Glattfelden;47.55983;8.49932;http://www.glattfelden.ch
ZH;0103;00059;Hochfelden;47.52347;8.51483;http://www.hochfelden.ch
ZH;0103;00060;Höri;47.50773;8.50940;http://www.hoeri.ch
ZH;0103;00061;Hüntwangen;47.59550;8.49293;http://www.huentwangen.ch
ZH;0103;00062;Kloten;47.45266;8.58524;http://www.kloten.ch
ZH;0103;00063;Lufingen;47.48830;8.59523;http://www.lufingen.ch
ZH;0103;00064;Nürensdorf;47.44813;8.64933;http://www.nuerensdorf.ch
ZH;0103;00065;Oberembrach;47.48790;8.61944;http://www.oberembrach.ch
ZH;0103;00066;Opfikon;47.43111;8.56860;http://www.opfikon.ch
ZH;0103;00067;Rafz;47.61242;8.54002;http://www.rafz.ch
ZH;0103;00068;Rorbas;47.52977;8.57793;http://www.rorbas.ch
ZH;0103;00069;Wallisellen;47.41566;8.59520;http://www.wallisellen.ch
ZH;0103;00070;Wasterkingen;47.59034;8.47354;http://www.wasterkingen.ch
ZH;0103;00071;Wil (ZH);47.60540;8.50799;http://www.wil-zh.ch
ZH;0103;00072;Winkel;47.49033;8.55615;http://www.winkel.ch
ZH;0104;00081;Bachs;47.52490;8.43938;http://www.bachs.ch
ZH;0104;00082;Boppelsen;47.47070;8.40264;http://www.boppelsen.ch
ZH;0104;00083;Buchs (ZH);47.45794;8.44125;http://www.buchs-zh.ch
ZH;0104;00084;Dällikon;47.43760;8.43645;http://www.daellikon.ch
ZH;0104;00085;Dänikon;47.44570;8.40565;http://www.daenikon.ch
ZH;0104;00086;Dielsdorf;47.48232;8.45808;http://www.dielsdorf.ch
ZH;0104;00087;Hüttikon;47.44611;8.38713;http://www.huettikon.ch
ZH;0104;00088;Neerach;47.51250;8.47301;http://www.neerach.ch
ZH;0104;00089;Niederglatt;47.49243;8.49959;http://www.niederglatt.zh.ch
ZH;0104;00090;Niederhasli;47.48155;8.49184;http://www.niederhasli.ch
ZH;0104;00091;Niederweningen;47.50445;8.37708;http://www.niederweningen.ch
ZH;0104;00092;Oberglatt;47.47515;8.51834;http://www.oberglatt.ch
ZH;0104;00093;Oberweningen;47.50180;8.40632;http://www.oberweningen.ch
ZH;0104;00094;Otelfingen;47.46243;8.39007;http://www.otelfingen.ch
ZH;0104;00095;Regensberg;47.48221;8.43640;http://www.regensberg.ch
ZH;0104;00096;Regensdorf;47.44087;8.46966;http://www.regensdorf.ch
ZH;0104;00097;Rümlang;47.44990;8.53116;http://www.ruemlang.ch
ZH;0104;00098;Schleinikon;47.49750;8.39591;
ZH;0104;00099;Schöfflisdorf;47.49972;8.41797;http://www.schoefflisdorf.ch
ZH;0104;00100;Stadel;47.52796;8.46745;http://www.stadel.zh.ch
